NID,QID
11337,370315
10239,10211
10292,66038
23734,38399
23756,74066
23990,86454
24362,86403
24267,43080
24747,66003
24375,10180
24387,10128
24399,70006
24402,15033
24404,27258
24408,50006
26129,66034
26130,10957
24758,70011
25288,86376
67124,86062
44706,86414
39509,10825
39513,86610
39507,10827
39408,10895
39776,10894
48150,86520
55977,10960
39395,10858
39396,86401
50520,86435
50518,86415
50519,27234
44701,19063
44690,43027
53264,38248
53262,50051
53261,50050
51678,10796
51679,10797
64058,10786
61673,10798
61674,10629
62133,10775
61587,74106
74728,115868
74705,12263
61503,116792
63640,121507
60123,86877
60122,86864
62894,121588
62852,122794
102866,11609
59934,124722
76840,11618
104847,11608
101824,1028
102925,90496
103518,110068
103711,43527
82837,43528
82861,350744
26352,350016
26353,350009
26354,350918
56704,351054
